Date,Added,Added,Removed,Removed,Reason
"March 20, 2023",TNDM,Tandem Diabetes Care,ZIMV,ZimVie,TNDM was moved from the S&P 400 as it was more representative of the small cap market space. ZIMV was removed from the S&P 600 as it was no longer representative of the small-cap market space.[74]
"March 20, 2023",HBI,Hanesbrands,OPRX,OptimizeRx,HBI was moved from the S&P 400 as it was more representative of the small cap market space. OPRX was removed from the S&P 600 as it was no longer representative of the small-cap market space.[74]
"March 20, 2023",PEB,Pebblebrook Hotel Trust,ILPT,Industrial Logistics Properties Trust,PEB was moved from the S&P 400 as it was more representative of the small cap market space. ILPT was removed from the S&P 600 as it was no longer representative of the small-cap market space.[74]
"March 20, 2023",JBGS,JBG Smith,GPMT,Granite Point Mortgage Trust,JBGS was moved from the S&P 400 as it was more representative of the small cap market space. GPMT was removed from the S&P 600 as it was no longer representative of the small-cap market space.[74]
"March 20, 2023",KMT,Kennametal,PKE,Park Aerospace Corp,KMT was moved from the S&P 400 as it was more representative of the small cap market space. PKE was removed from the S&P 600 as it was no longer representative of the small-cap market space.[74]
"March 20, 2023",DY,Dycom Industries,HT,Hersha Hospitality Trust,DY was moved from the S&P 400 as it was more representative of the small cap market space. HT was removed from the S&P 600 as it was no longer representative of the small-cap market space.[74]
"March 20, 2023",WAFD,"WaFd, Inc.",SRDX,Surmodics,WAFD was moved from the S&P 400 as it was more representative of the small cap market space. SRDX was removed from the S&P 600 as it was no longer representative of the small-cap market space.[74]
"March 20, 2023",VSAT,Viasat,ORGO,Organogenesis,VSAT was moved from the S&P 400 as it was more representative of the small cap market space. ORGO was removed from the S&P 600 as it was no longer representative of the small-cap market space.[74]
"March 20, 2023",CBRL,Cracker Barrel,UIS,Unisys,CBRL was moved from the S&P 400 as it was more representative of the small cap market space. UIS was removed from the S&P 600 as it was no longer representative of the small-cap market space.[74]
"March 20, 2023",SLG,SL Green Realty,PNTG,Pennant Group,SLG was moved from the S&P 400 as it was more representative of the small cap market space. PNTG was removed from the S&P 600 as it was no longer representative of the small-cap market space.[74]
"March 20, 2023",RDN,Radian Group,UEIC,Universal Electronics Inc,RDN replaced UEIC which was no longer representative of the small-cap market space.[74]
"March 20, 2023",NEX,NexTier Oilfield Solutions,MPAA,Motorcar Parts of America,NEX replaced MPAA which was no longer representative of the small-cap market space.[74]
"March 20, 2023",AUB,Atlantic Union Bank,FSP,Franklin Street Properties Corp.,AUB replaced FSB which was no longer representative of the small-cap market space.[74]
"March 20, 2023",KW,Kennedy Wilson,WW,WW International,KW replaced WW which was no longer representative of the small-cap market space.[74]
"March 1, 2023",VRRM,Verra Mobility,COLB,Columbia Banking System,"VRRM replaced COLB which replaced Umpqua Holdings Corporation in the S&P 400. COLB acquired Umpqua Holdings and post-merger, COLB market cap was more representative of the mid-cap market space.[75]"
"February 23, 2023",OTTR,Otter Tail Corporation,UFP,UFP Industries,"OTTR replaced UFP which replaced LHC Group, Inc. in the S&P 400 after it was acquired by UnitedHealth Group.[76]"
"February 6, 2023",CRK,Comstock Resources,ADC,Agree Realty Corp.,CRK replaced ADC which replaced Store Capital in the S&P 400 after it was acquired by GIC and Oak Street.[77]
"February 2, 2023",NOG,Northern Oil and Gas,SJI,South Jersey Industries,NOG replaced SJI after it was acquired by Infrastructure Investments Fund.[78]
"January 31, 2023",DV,DoubleVerify,VIVO,Meridian Bioscience,DV replaced VIVO after it was acquired by SD Biosensor.[79]
"January 5, 2023",RXO,RXO,JYNT,The Joint Corp.,RXO was moved from the S&P 400 as it was more representative of the small cap market space. JYNT was removed from the S&P 600 as it was no longer representative of the small-cap market space.[80]
"December 19, 2022",MBC,MasterBrand,CONN,Conn's,MBC was spun off from Fortune Brands Innovations and replaced CONN which was no longer representative of the small-cap market space.[81]
"December 19, 2022",NUVA,NuVasive,TUP,Tupperware Brands,NUVA was moved from the S&P 400 as it was more representative of the small cap market space. TUP was removed from the S&P 600 as it was no longer representative of the small-cap market space.[82]
"December 19, 2022",SMTC,Semtech,DHC,Diversified Healthcare Trust,SMTC was moved from the S&P 400 as it was more representative of the small cap market space. DHC was removed from the S&P 600 as it was no longer representative of the small-cap market space.[82]
"December 19, 2022",CWK,Cushman & Wakefield,DBD,Diebold Nixdorf,CWK was moved from the S&P 400 as it was more representative of the small cap market space. DBD was removed from the S&P 600 as it was no longer representative of the small-cap market space.[82]
"December 19, 2022",SJW,SJW Group,CATO,Cato Corporation,SJW was moved from the S&P 400 as it was more representative of the small cap market space. CATO was removed from the S&P 600 as it was no longer representative of the small-cap market space.[82]
"December 19, 2022",AGTI,Agiliti,LL,LL Flooring,AGTI was moved from the S&P 400 as it was more representative of the small cap market space. LL was removed from the S&P 600 as it was no longer representative of the small-cap market space.[82]
"December 1, 2022",SABR,Sabre Corporation,FBC,Flagstar Bancorp,FBC was acquired by New York Community Bancorp. SABR was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[83]
"December 1, 2022",NUS,Nu Skin Enterprises,PBF,PBF Energy,NUS was moved from the S&P 400 as it was more representative of the small cap market space. PBF was removed from the S&P 600 as it was no longer representative of the small-cap market space.[84]
"November 2, 2022",BFH,Bread Financial,UFI,Unifi,BFH was moved from the S&P 400 as it was more representative of the small cap market space. UFI was removed from the S&P 600 as it was no longer representative of the small-cap market space.[85]
"October 18, 2022",MLKN,MillerKnoll,CVET,Covetrus,"CVET was acquired by Clayton, Dubilier & Rice. MLKN was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[86]"
"October 12, 2022",PAYO,Payoneer,LNTH,Lantheus Holdings,PAYO replaced LNTH which replaced Targa Resources in the S&P 400 after it was moved to the S&P 500.[87]
"October 3, 2022",HAIN,Hain Celestial Group,HNGR,"Hanger, Inc.","HNGR was acquired by Patient Square Capital, LP. HAIN was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[88]"
"October 3, 2022",MCW,Mister Car Wash,EXLS,EXL Service Holdings,MCW replaced EXLS which replaced EQT Corp. in the S&P 400 after it was moved to the S&P 500.[89]
"October 3, 2022",XPER,"Xperi, Inc.",SLQT,SelectQuote,Xperi Holding Corporation spun off Xperi Incorporated. Post spin off both companies remained in the S&P 600 but Xperi Holding Corporation was renamed to Adeia Incorporated (Nasdaq: ADEA). SLQT was removed from the S&P 600 as it was no longer representative of the small-cap market space.[89]
"October 3, 2022",STEL,Stellar Bancorp,ABTX,Allegiance Bancshares,"ABTX was acquired by CBTX, Inc. and post merger the combined company changed its name and ticker symbol to Stellar Bancorp (Nasdaq: STEL).[89]"
"September 28, 2022",LESL,Leslie's,GCP,GCP Applied Technologies,LESL replaced GCP after it was acquired by Compagnie de Saint-Gobain S.A.[89]
"September 19, 2022",HPP,Hudson Pacific Properties,APEI,American Public Education,HPP was moved from the S&P 400 as it was more representative of the small cap market space. APEI was removed from the S&P 600 as it was no longer representative of the small-cap market space.[90]
"September 19, 2022",MCY,Mercury General,EHTH,eHealth,MCY was moved from the S&P 400 as it was more representative of the small cap market space. EHTH was removed from the S&P 600 as it was no longer representative of the small-cap market space.[90]
"September 19, 2022",AEO,American Eagle Outfitters,CAMP,CalAmp,AEO was moved from the S&P 400 as it was more representative of the small cap market space. CAMP was removed from the S&P 600 as it was no longer representative of the small-cap market space.[90]
"September 19, 2022",MTX,Minerals Technology,GLT,Glatfelter,MTX was moved from the S&P 400 as it was more representative of the small cap market space. GLT was removed from the S&P 600 as it was no longer representative of the small-cap market space.[90]
"September 19, 2022",OUT,Outfront Media,FOSL,Fossil Group,OUT was moved from the S&P 400 as it was more representative of the small cap market space. FOSL was removed from the S&P 600 as it was no longer representative of the small-cap market space.[90]
"September 15, 2022",CPRX,Catalyst Pharmaceuticals,MANT,ManTech International,CPRX replaced MANT after it was acquired by The Carlyle Group.[91]
"September 1, 2022",AVID,Avid Technology,POLY,Plantronics,AVID replaced POLY after it was acquired by HP Inc.[92]
"August 10, 2022",CLFD,Clearfield,CELH,Celsius Holdings,CLFD replaced CELH which replaced American Campus Communities in the S&P 400 after it was acquired by Blackstone Inc.[93]
"August 4, 2022",AHCO,AdaptHealth,MTOR,Meritor,AHCO replaced MTOR after it was acquired by Cummins.[94]
"July 26, 2022",SIX,Six Flags,NTUS,Natus Medical,NTUS was acquired by Archimed. SIX was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[95]
"July 21, 2022",SHO,Sunstone Hotel Investors,VG,Vonage,SHO replaced VG after it was acquired by Ericsson.[96]
"July 20, 2022",GRBK,Green Brick Partners,COKE,Coca-Cola Bottling Co. Consolidated,GRBK replaced COKE which replaced PS Business Parks in the S&P 400 after it was acquired by Blackstone Inc.[97]
"July 6, 2022",FTDR,"Frontdoor, Inc.",SWN,Southwestern Energy,FTDR replaced SWN which replaced CDK Global in the S&P 400 after it was acquired by Brookfield Business Partners.[98]
"July 5, 2022",LRN,"Stride, Inc.",OMCL,Omnicell,"LRN replaced OMCL which replaced Coherent, Inc. in the S&P 400 after it was acquired by II-VI Incorporated.[98]"
"July 5, 2022",EHAB,"Enhabit, Inc.",LYLT,Loyalty Ventures,EHAB was spun off from S&P 400 constituent Encompass Health and replaced LYLT which was no longer representative of the small-cap market space.[98]
"July 5, 2022",SNCY,Sun Country Airlines,NP,"Neenah, Inc.","SNCY replaced NP after it was acquired by Schweitzer- Mauduit International, Inc.[98]"
"June 29, 2022",APPS,Digital Turbine,TVTY,Tivity Health,TVTY was acquired by Stone Point Capital LLC. APPS was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[99]
"June 21, 2022",TRN,Trinity Industries,ENDP,Endo International,TRN was moved from the S&P 400 as it was more representative of the small cap market space. ENDP was removed from the S&P 600 as it was no longer representative of the small-cap market space.[100]
"June 21, 2022",YELP,Yelp,RRGB,Red Robin,YELP was moved from the S&P 400 as it was more representative of the small cap market space. RRGB was removed from the S&P 600 as it was no longer representative of the small-cap market space.[100]
"June 21, 2022",URBN,Urban Outfitters,TCMD,Tactile Systems Technology,URBN was moved from the S&P 400 as it was more representative of the small cap market space. TCMD was removed from the S&P 600 as it was no longer representative of the small-cap market space.[100]
"June 21, 2022",RAMP,LiveRamp,VRA,Vera Bradley,RAMP was moved from the S&P 400 as it was more representative of the small cap market space. VRA was removed from the S&P 600 as it was no longer representative of the small-cap market space.[100]
"June 21, 2022",IRWD,Ironwood Pharmaceuticals,GHL,Greenhill & Co.,IRWD replaced GHL which was no longer representative of the small-cap market space.[100]
"June 16, 2022",EYE,National Vision Holdings,REGI,Renewable Energy Group,EYE replaced REGI after it was acquired by Chevron Corporation.[101]
"May 19, 2022",AOSL,Alpha and Omega Semiconductor,IRT,Independence Realty Trust,"AOSL replaced IRT which replaced Mimecast in the S&P 400 after it was acquired by Permira Holdings, Inc.[102]"
"May 17, 2022",DVAX,Dynavax Technologies,EPAY,Bottomline Technologies,DVAX replaced EPAY after it was acquired by Thoma Bravo.[102]
"May 3, 2022",TPH,Tri Pointe Homes,ECOL,US Ecology,ECOL was acquired by Republic Services. TPH was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[103]
"April 26, 2022",ATEN,A10 Networks,FOE,Ferro Corporation,"ATEN replaced FOE after it was acquired by Prince International Corp., a portfolio company of American Securities LLC.[104]"
"April 8, 2022",GOGO,"Gogo, Inc.",FLOW,"SPX FLOW, Inc.",GOGO replaced FLOW after it was acquired by Lone Star Funds.[105]
"April 7, 2022",RCUS,Arcus Biosciences,ISBC,"Investors Bancorp, Inc.",RCUS replaced ISBC after it was acquired by Citizens Financial Group.[106]
"April 6, 2022",PRG,PROG Holdings,FRGI,Fiesta Restaurant Group,PRG was moved from the S&P 400 to replace FRGI which was no longer representative of the small-cap market space.[107]
"April 4, 2022",VIR,Vir Biotechnology,MTDR,Matador Resources,VIR replaced MTDR which replaced Camden Property Trust in the S&P 400 after it was moved to the S&P 500.[108]
"April 4, 2022",EMBC,Embecta Corp.,BNED,"Barnes & Noble Education, Inc.","EMBC was spun off from S&P 500 constituent Becton, Dickinson and Company and replaced BNED which was no longer representative of the small-cap market space.[109]"
"March 30, 2022",SONO,Sonos,GTLS,"Chart Industries, Inc.",SONO replaced GTLS which replaced CyrusOne in the S&P 400 after it was acquired by Kohlberg Kravis Roberts and Global Infrastructure Partners.[109]
"March 16, 2022",ASO,Academy Sports + Outdoors,KRA,Kraton,"ASO replaced KRA after it was acquired by DL Chemical Co., Ltd.[110]"
"March 14, 2022",CRNC,Cerence,CPS,"Cooper-Standard Holdings, Inc.",CRNC was moved from the S&P 400 to replace CPS which was no longer representative of the small-cap market space.[111]
"March 2, 2022",GDEN,Golden Entertainment,RRC,Range Resources,GDEN replaced RRC which replaced Molina Healthcare in the S&P 400 after it was moved to the S&P 500.[112]
"March 2, 2022",ZIMV,ZimVie,TRHC,Tabula Rasa HealthCare,ZIMV was spun off from S&P 500 constituent Zimmer Biomet and replaced TRHC which was no longer representative of the small-cap market space.[113]
"February 18, 2022",UE,Urban Edge Properties,ONB,Old National Bancorp,"UE moved down from the S&P 400 and swapped places with ONB which moved up. ONB acquired First Midwest Bancorp and post-merger, ONB was more representative of the mid-cap market space. UE is more representative of the small-cap market space.[114]"
"February 18, 2022",CRSR,Corsair Gaming,FMBI,First Midwest Bancorp,CRSR replaced FMBI after it was acquired by Old National Bancorp.[114]
"February 15, 2022",XPEL,"XPEL, Inc.",PDCE,"PDC Energy, Inc.",XPEL replaced PDCE which replaced Nordson Corporation in the S&P 400 after it was moved to the S&P 500.[115]
"February 3, 2022",JACK,Jack in the Box,SPPI,Spectrum Pharmaceuticals,JACK was moved from the S&P 400 to replace SPPI which was no longer representative of the small-cap market space.[116]
"February 1, 2022",CMP,Compass Minerals,GWB,"Great Western Bancorp, Inc.",GWB was acquired by First Interstate BancSystem. CMP was moved from the S&P 400 to replace it as it was more representative of the small-cap market space.[116]
"February 1, 2022",TWNK,Hostess Brands,WTS,Watts Water Technologies,TWNK replaced WTS which replaced Sterling Bancorp in the S&P 400 after it was acquired by Webster Bank.[116]
"January 5, 2022",ITOS,iTeos Therapeutics,MGLN,Magellan Health,ITOS replaced MGLN after it was acquired by S&P 500 constituent Centene Corporation.[117]
"December 30, 2021",DOUG,Douglas Elliman,MTRX,Matrix Service Company,"DOUG was spun off from S&P 600 constituent Vector Group and replaced MTRX which was no longer representative of the small-cap market space. Post spin-off, Vector Group remained in the S&P 600.[118]"
"December 20, 2021",TR,Tootsie Roll Industries,M,"Macy's, Inc.",TR moved down from the S&P 400 and swapped places with M which moved up.[119]
"December 20, 2021",TDS,Telephone and Data Systems,VICR,Vicor Corporation,TDS moved down from the S&P 400 and swapped places with VICR which moved up.[119]
"December 20, 2021",NKTR,Nektar Therapeutics,POWI,Power Integrations,NKTR moved down from the S&P 400 and swapped places with POWI which moved up.[119]
"December 2, 2021",KAR,KAR Auction Services,MDP,Meredith Corporation,MDP was acquired in a two-step transaction by Gray Television and Dotdash. KAR was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[120]
"December 2, 2021",CARS,Cars.com,DSPG,DSP Group,"CARS replaced DSPG after it was acquired by Synaptics, Inc.[120]"
"December 2, 2021",NVEE,NV5 Global,RAVN,Raven Industries,NVEE replaced RAVN after it was acquired by CNH Industrial.[120]
"November 30, 2021",EBS,Emergent BioSolutions,UFS,Domtar Corp.,UFS was acquired by Paper Excellence. EBS was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[121]
"November 24, 2021",THRY,Thryv,ECHO,Echo Global Logistics,THRY replaced ECHO after it was acquired by The Jordan Company.[122]
"November 16, 2021",ONL,Orion Office REIT,DAKT,"Daktronics, Inc.",ONL was spun off from Realty Income and moved down to replace DAKT which was no longer representative of the small-cap market space.[123]
"November 9, 2021",LYLT,Loyalty Ventures,AAOI,Applied Optoelectronics,LYLT was spun off from Alliance Data and moved down to replace AAOI which was no longer representative of the small-cap market space.[124]
"November 5, 2021",NTCT,NetScout Systems,IVC,Invacare Corporation,NTCT moved down from the S&P 400 and replaced IVC which was no longer representative of the small-cap market space.[125]
"October 29, 2021",CDMO,Avid Biosciences,CADE,Cadence Bank,CDMO replaced CADE after it was acquired by BancorpSouth.[126]
"October 22, 2021",HRMY,Harmony Biosciences,RPAI,Retail Properties of America,HRMY replaced RPAI after it was acquired by Kite Realty Group Trust.[127]
"October 22, 2021",TREE,LendingTree,KRG,Kite Realty Group Trust,TREE moved down from the S&P 400 and swapped places with KRG which moved up. TREE has a market capitalization that is more representative of the small-cap market space.[127]
"October 19, 2021",FBRT,"Franklin BSP Realty Trust, Inc.",CMO,Capstead Mortgage Corporation,"After the close of trading on October 18, 2021, CMO ceased to be publicly traded on the New York Stock Exchange. At the open of trading on October 19, 2021, the combined company will trade on the NYSE under the ticker symbol FBRT.[128]"
"October 11, 2021",CCSI,Consensus Cloud Solutions,RGS,Regis Corporation,"CCSI was spun off from S&P 400 constituent J2 Global and moved down to replace RGS which was no longer representative of the small-cap market space. Post spin-off, J2 Global will remain in the S&P MidCap 400 and will change its name to Ziff Davis, Inc.[129]"
"October 4, 2021",OPRX,OptimizeRx Corp.,LDL,"Lydall, Inc.",OPRX replaced LDL after it was acquired by Clearlake Capital.[130]
"October 4, 2021",SLVM,Sylvamo,STMP,"Stamps.com, Inc.",SLVM was spun off from S&P 500 constituent International Paper and moved down to replace STMP which was acquired by Thoma Bravo.[131]
"September 20, 2021",WW,WW International,TISI,"Team, Inc",WW moved down from the S&P 400 and replaced TISI which was no longer representative of the small-cap market space.[132]
"September 20, 2021",MCSG,"Healthcare Services Group, Inc.",MSTR,"MicroStrategy, Inc.",MCSG moved down from the S&P 400 and replaced MSTR which was no longer representative of the small-cap market space.[132]
"September 20, 2021",QURE,uniQure N.V.,UIHC,United Insurance Holdings Corp.,QURE replaced UIHC which was no longer representative of the small-cap market space.[132]
"September 7, 2021",LGND,Ligand Pharmaceuticals,CBB,Cincinnati Bell,CBB was acquired by Macquarie Infrastructure and Real Assets. LGND was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[133]
"September 3, 2021",THS,TreeHouse Foods,CORE,"Core-Mark Holding Company, Inc.",CORE was acquired by Performance Food Group. THS was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[133]
"August 30, 2021",BLFS,BioLife Solutions,SAIA,"Saia, Inc.",BLFS replaced SAIA which replaced Bio-Techne in the S&P 400 after it was moved to the S&P 500.[134]
"August 30, 2021",CNK,Cinemark Holdings,USCR,U.S. Concrete,USCR was acquired by Vulcan Materials Company. CNK was moved from the S&P 400 to replace it as it was more representative of the small-cap market space.[134]
"August 30, 2021",TRMK,Trustmark Corp.,SYKE,Sykes Enterprises,SYKE was acquired by Sitel Group. TRMK was moved from the S&P 400 to replace it as it was more representative of the small-cap market space.[134]
"August 4, 2021",LKFN,Lakeland Financial Corp.,GME,GameStop Corp.,LKFN replaced GME which replaced Weingarten Realty Investors in the S&P 400 after it was acquired by Kimco Realty.[135]
"August 4, 2021",INT,World Fuel Services,SPOK,"Spok Holdings, Inc.",INT moved down from the S&P 400 and replaced SPOK which was no longer representative of the small-cap market space.[135]
"August 3, 2021",STRA,"Strategic Education, Inc.",BELFB,"Bel Fuse, Inc.",STRA moved down from the S&P 400 and replaced BELFB which was no longer representative of the small-cap market space.[135]
"July 15, 2021",MSEX,Middlesex Water Company,LMNX,Luminex Corporation,MSEX replaced LMNX after it was acquired by DiaSorin.[136]
"July 7, 2021",ATGE,Adtalem Global Education,BPFH,Boston Private Financial Holdings,ATGE moved down from the S&P 400 and replaced BPFH which was acquired by SVB Financial Group.[137]
"June 22, 2021",TWO,Two Harbors Investment Corp.,CATM,Cardtronics,TWO replaced CATM after it was acquired by NCR Corporation.[138]
"June 15, 2021",AMEH,"Apollo Medical Holdings, Inc.",ELY,Callaway Golf Company,AMEH replaced ELY which replaced Grubhub in the S&P 400 after it was acquired by Just Eat Takeaway.[139]
"June 10, 2021",SLQT,"SelectQuote, Inc.",CTB,Cooper Tire & Rubber Company,SLQT replaced CTB after it was acquired by Goodyear Tire and Rubber Company.[140]
"June 4, 2021",SVC,Service Properties Trust,LCI,"Lannett Company, Inc.",SVC moved down from the S&P 400 and replaced LCI which was no longer representative of the small-cap market space.[141]
"June 2, 2021",ORGO,Organogenesis Holdings Inc.,CROX,"Crocs, Inc.",ORGO replaced CROX which replaced Cantel Medical Corporation in the S&P 400 after it was acquired by Steris plc.[142]
"May 27, 2021",JYNT,The Joint Corp.,CUB,Cubic Corporation,JYNT replaced CUB after it was acquired by Veritas Capital.[143]
"May 17, 2021",AVNS,Avanos Medical,AEGN,Aegion Corp.,AEGN was acquired by New Mountain Capital. AVNS was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[144]
"May 14, 2021",EFC,Ellington Financial,NSA,National Storage Affiliates Trust,EFC replaced NSA which replaced Charles River Laboratories in the S&P 400 after it was moved to the S&P 500.[144]
"May 7, 2021",TBBK,"The Bancorp, Inc.",RCM,R1 RCM,TBBK replaced RCM which replaced Perspecta Inc. in the S&P 400 after it was acquired by Veritas Capital.[145]
"May 3, 2021",GNW,Genworth Financial,GLUU,Glu Mobile,GLUU was acquired by Electronic Arts. GNW was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[146]
"May 3, 2021",UTL,Unitil Corporation,WDR,Waddell & Reed,UTL replaced WDR after it was acquired by Macquarie Group.[146]
"April 20, 2021",UFS,Domtar Corp.,EGOV,NIC Inc.,EGOV was acquired component Tyler Technologies. UFS was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[147]
"April 15, 2021",RILY,B. Riley Financial,MIK,The Michaels Companies,RILY replaced MIK after it was acquired by Apollo Global Management.[148]
"April 12, 2021",IDCC,InterDigital,CKH,SEACOR Holdings,CKH was acquired by American Industrial Partners. IDCC was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[149]
"April 8, 2021",CARA,Cara Therapeutics,MTSC,MTS Systems Corporation,CARA replaced MTSC after it was acquired by Amphenol Corp.[150]
"March 30, 2021",OI,O-I Glass,HMSY,HMS Holdings,HMSY was acquired by Veritas Capital. OI was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[151]
"March 22, 2021",VCEL,Vericel,QEP,QEP Resources,VCEL replaced QEP after it was acquired by Diamondback Energy.[152]
"March 22, 2021",EPC,Edgewell Personal Care,EXTN,Exterran Corporation,EPC moved down from the S&P 400 and replaced EXTN which was no longer representative of the small-cap market space.[153]
"March 1, 2021",WSFS,WSFS Financial,CLF,Cleveland-Cliffs,WSFS replaced CLF which replaced Eaton Vance in the S&P 400 after it was acquired by Morgan Stanley.[154]
"February 16, 2021",HNI,HNI Corporation,VRTU,Virtusa Corporation,VRTU was acquired by Baring Private Equity Asia. HNI was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[155]
"February 12, 2021",COLL,Collegium Pharmaceutical,IRDM,Iridium Communications,COLL replaced IRDM which replaced Monolithic Power Systems in the S&P 400 after it was moved to the S&P 500.[156]
"February 10, 2021",ISBC,"Investors Bancorp, Inc.",BEAT,"BioTelemetry, Inc.",ISBC replaced BEAT after it was acquired by multinational comglomerate Koninklijke Philips N.V.[157]
"January 29, 2021",PBH,Prestige Consumer Healthcare,FBM,"Foundation Building Materials, Inc.",FBM was acquired by American Securities LLC. PBH was moved from the S&P 400 to replace it as it was more representative of the small cap market space.[158]
"January 21, 2021",HTH,Hilltop Holdings Inc.,YETI,Yeti Holdings,HTH replaced YETI which replaced Trimble Inc. in the S&P 400 after it was moved to the S&P 500.[159]
"January 7, 2021",CELH,Celsius Holdings,CPRI,Capri Holdings,CELH replaced CPRI which replaced Enphase Energy in the S&P 400 after it was moved to the S&P 500.[160]
"January 7, 2021",ELF,"e.l.f. Beauty, Inc.",BRKS,"Brooks Automation, Inc.",ELF replaced BRKS which replaced WPX Energy in the S&P 400 after it was acquired by Devon Energy Corp.[160]
"December 29, 2020",SMPL,The Simply Good Foods Co.,KNSL,Kinsale Capital Group,SMPL replaced KNSL which replaced Taubman Centers in the S&P 400 after it was acquired by Simon Property Group.[161]
"December 2, 2020",AMCX,AMC Networks,RRD,R.R. Donnelley & Sons,AMCX moved down from the S&P 400 and replaced RRD which was no longer representative of the small-cap market space.[162]
"December 2, 2020",AAN,"The Aaron's Company, Inc.",GEOS,Geospace Technologies,"AAN was spun off from S&P 400 parent Aaron's Holding Company, Inc. (NYSE: PRG) and moved down to replace GEOS which was no longer representative of the small-cap market space.[162]"
"November 13, 2020",FBNC,First Bancorp,AMAG,AMAG Pharmaceuticals,FBNC replaced AMAG after it was acquired by Covis Group.[163]
"November 13, 2020",GEO,GEO Group,GPOR,Gulfport Energy,GEO moved down from the S&P 400 and replaced GPOR which was no longer representative of the small-cap market space.[163]
"November 13, 2020",MD,Mednax,WPG,Washington Prime Group,MD moved down from the S&P 400 and replaced WPG which was no longer representative of the small-cap market space.[163]
"October 7, 2020",CFFN,Capitol Federal Savings Bank,NEOG,Neogen Corp.,CFFN replaced NEOG which replaced Pool Corp. in the S&P 400 after it was moved to the S&P 500.[164]
"October 7, 2020",AGO,Assured Guaranty,SSD,Simpson Manufacturing Company,"AGO replaced SSD which replaced Delphi Technologies in the S&P 400 after it was acquired by BorgWarner, Inc.[164]"
"October 7, 2020",RNST,Renasant Corp.,NR,"Newpark Resources, Inc.",RNST replaced NR which was no longer representative of the small-cap market space.[164]
"October 5, 2020",SBH,Sally Beauty Holdings,OAS,Oasis Petroleum,SBH moved down from the S&P 400 and replaced OAS which was no longer representative of the small-cap market space.[165]
"October 1, 2020",CPK,Chesapeake Utilities,MNTA,Momenta Pharmaceuticals,CPK replaced MNTA after it was acquired by Johnson & Johnson.[166]
"September 25, 2020",FLGT,Fulgent Genetics,GTX,Garrett Motion,FLGT replaced GTX which was no longer representative of the small-cap market space.[167]
"September 21, 2020",PBF,PBF Energy,WING,Wingstop,WING was moved from the S&P 600 to the S&P 400 replacing PBF which was moved from the S&P 400 to the S&P 600 based on market cap changes.[168]
"September 21, 2020",ATI,Allegheny Technologies,MEDP,Medpace,MEDP was moved from the S&P 600 to the S&P 400 replacing ATI which was moved from the S&P 400 to the S&P 600 based on market cap changes.[168]
"September 21, 2020",CLI,Mack-Cali Realty Corp.,FOXF,Fox Factory Holding Corp.,FOXF was moved from the S&P 600 to the S&P 400 replacing CLI which was moved from the S&P 400 to the S&P 600 based on market cap changes.[168]
"September 21, 2020",COOP,Mr. Cooper Group,EXPR,"Express, Inc.",COOP replaced EXPR which was no longer representative of the small-cap market space.[168]
"September 21, 2020",RCM,R1 RCM,PEI,Pennsylvania Real Estate,RCM replaced PEI which was no longer representative of the small-cap market space.[168]
"September 1, 2020",BKU,BankUnited,LAD,Lithia Motors,BKU replaced LAD which replaced LogMeIn in the S&P 400 after it was acquired by Francisco Partners and Elliott Management Corporation.[169]
"September 1, 2020",TRUP,Trupanion,REI,Ring Energy,TRUP replaced REI which was no longer representative of the small-cap market space.[169]
"August 17, 2020",FBK,FB Financial,FSB,Franklin Financial Network,FBK replaced FSB as Franklin Financial Network was acquired by FB Financial [170]
"August 17, 2020",CXW,CoreCivic,VAL,Valaris,CXW replaced VAL which was no longer representative of the small-cap market space.[171]
"August 3, 2020",BANF,BancFirst,RUN,Sunrun,BANF replaced RUN which was no longer representative of the small-cap market space.[172]
"August 3, 2020",DLX,Deluxe Corporation,EE,El Paso Electric,DLX replaced EE as El Paso Electric was acquired.[173]
"August 3, 2020",CRS,Carpenter Technology,CDR,Cedar Realty Trust,CRS replaced CDR which was no longer representative of the small-cap market space.[174]
"July 24, 2020",FHB,First Hawaiian Bank,EBS,Emergent BioSolutions,FHB replaced EBS which was no longer representative of the small-cap market space.[175]
"June 30, 2020",RPAI,Retail Properties of America Inc.,BLD,TopBuild,RPAI replaced BLD which was no longer representative of the small-cap market space.[176]
"June 30, 2020",BDN,Brandywine Realty Trust,BGG,Briggs & Stratton,BDN replaced BGG which was no longer representative of the small-cap market space.[177]
